Year of Birth,Gender,Count
2016,FEMALE,172
2016,FEMALE,112
2016,FEMALE,104
2016,FEMALE,99
2016,FEMALE,99
2016,FEMALE,79
2016,FEMALE,59
2016,FEMALE,57
2016,FEMALE,56
2016,FEMALE,56
2016,FEMALE,54
2016,FEMALE,54
2016,FEMALE,53
2016,FEMALE,49
2016,FEMALE,44
2016,FEMALE,42
2016,FEMALE,42
2016,FEMALE,42
2016,FEMALE,40
2016,FEMALE,39
2016,FEMALE,39
2016,FEMALE,35
2016,FEMALE,34
2016,FEMALE,34
2016,FEMALE,34
2016,FEMALE,34
2016,FEMALE,33
2016,FEMALE,32
2016,FEMALE,32
2016,FEMALE,31
2016,FEMALE,31
2016,FEMALE,30
2016,FEMALE,30
2016,FEMALE,30
2016,FEMALE,29
2016,FEMALE,29
2016,FEMALE,29
2016,FEMALE,28
2016,FEMALE,28
2016,FEMALE,28
2016,FEMALE,28
2016,FEMALE,27
2016,FEMALE,27
2016,FEMALE,27
2016,FEMALE,26
2016,FEMALE,26
2016,FEMALE,26
2016,FEMALE,26
2016,FEMALE,26
2016,FEMALE,25
2016,FEMALE,25
2016,FEMALE,25
2016,FEMALE,25
2016,FEMALE,24
2016,FEMALE,24
2016,FEMALE,24
2016,FEMALE,24
2016,FEMALE,24
2016,FEMALE,23
2016,FEMALE,23
2016,FEMALE,23
2016,FEMALE,23
2016,FEMALE,23
2016,FEMALE,23
2016,FEMALE,23
2016,FEMALE,22
2016,FEMALE,21
2016,FEMALE,21
2016,FEMALE,21
2016,FEMALE,21
2016,FEMALE,20
2016,FEMALE,20
2016,FEMALE,20
2016,FEMALE,20
2016,FEMALE,20
2016,FEMALE,20
2016,FEMALE,20
2016,FEMALE,20
2016,FEMALE,19
2016,FEMALE,19
2016,FEMALE,19
2016,FEMALE,19
2016,FEMALE,19
2016,FEMALE,19
2016,FEMALE,18
2016,FEMALE,18
2016,FEMALE,18
2016,FEMALE,18
2016,FEMALE,18
2016,FEMALE,18
2016,FEMALE,17
2016,FEMALE,17
2016,FEMALE,17
2016,FEMALE,17
2016,FEMALE,17
2016,FEMALE,17
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
